form,kind,meaning,name,original,sex,source
spelling,Variant,Ireland,AAREN,Aeryn,female,English
spelling,Variant,"father rejoices",ABAEGAYLE,Abigail,female,English
spelling,Variant,"father rejoices",ABAGAEL,Abigail,female,English
spelling,Variant,"father rejoices",ABAGAIL,Abigail,female,English
spelling,Variant,"father rejoices",ABAGALE,Abigail,female,English
spelling,Variant,"father rejoices",ABAIGAEL,Abigail,female,English
spelling,Variant,"father rejoices",ABAIGEAL,Abigail,female,English
form,Pet,"father rejoices",ABBEY,Abigail,female,English
form,Pet,"father rejoices",ABBI,Abigail,female,English
form,Pet,"father rejoices",ABBIE,Abigail,female,English
spelling,Variant,"father rejoices",ABBIGAEL,Abigail,female,English
spelling,Variant,"father rejoices",ABBIGAIL,Abigail,female,English
spelling,Variant,"father rejoices",ABBIGALE,Abigail,female,English
spelling,Variant,"father rejoices",ABBIGAYLE,Abigail,female,English
form,Pet,"father rejoices",ABBY,Abigail,female,English
form,Pet,"father rejoices",ABBYE,Abigail,female,English
spelling,Variant,"father rejoices",ABBYGAEL,Abigail,female,English
spelling,Variant,"father rejoices",ABBYGAIL,Abigail,female,English
spelling,Variant,"father rejoices",ABBYGALE,Abigail,female,English
spelling,Variant,"father rejoices",ABEGAIL,Abigail,female,English
spelling,Variant,"father rejoices",ABEGAYLE,Abigail,female,English
form,Anglicized,"my father",ABI,Abiy,female,Hebrew
form,Anglicized,"Yahweh is my father",ABIA,"unisex Abiyah",female,Hebrew
form,Anglicized,"Yahweh is my father",ABIAH,"unisex Abiyah",female,Hebrew
form,Anglicized,"father rejoices",ABIGAIL,Abigayil,female,Hebrew
spelling,Variant,"father rejoices",ABIGALE,Abigail,female,English
spelling,Variant,"father rejoices",ABIGALL,Abigail,female,English
spelling,Variant,"father rejoices",ABIGAYLE,Abigail,female,English
spelling,Variant,"father rejoices",ABIGIL,Abigail,female,English
form,Anglicized,"father of might",ABIHAIL,"unisex Abiyhayil",female,Hebrew
form,Anglicized,"Yahweh is my father",ABIJAH,"unisex Abiyah",female,Hebrew
form,Anglicized,"my father is a wanderer",ABISHAG,Abiyshag,female,Hebrew
form,Anglicized,"my father is dew",ABITAL,Abiytal,female,Hebrew
form,Short,"father of a multitude",ABRA,Abrahamit,female,Hebrew
"feminine form",English,"father of a multitude",ABRIANNA,Abraham,female,Hebrew
"variant spelling",English,"little noble",ADALINE,Adeline,female,French
"variant spelling",English,noble,ADALLINA,Adelina,female,Italian
"feminine form",Scottish,earth,ADAMINA,Adam,female,Hebrew
form,Pet,"noble sort",ADDIE,Adelaide,female,English
form,Pet,"noble sort",ADDY,Adelaide,female,English
form,Latin,noble,ADELA,Adala,female,German
form,English,"noble sort",ADELAIDE,Adï��laï��de,female,French
form,English,"noble sort",ADELE,Adï��le,female,French
form,Variant,noble,ADELIA,Adela,female,Latin
"variant form",English,"noble sort",ADELICE,Adelais,female,French
form,Elaborated,"noble sort",ADELICIA,Adelice,female,English
form,Diminutive,"little noble",ADELINE,Adï��le,female,French
form,French,noble,ADELLE,Adala,female,German
form,English,"born of the same womb; sibling",ADELPHIE,Adelphe,female,French
"variant spelling",English,"little noble",ADELYNA,Adelina,female,Italian/Spanish
form,Feminine,fire,ADENA,Aden,female,English
spelling,Variant,fire,ADENAH,Adena,female,English
spelling,Variant,fire,ADENE,Adena,female,English
"variant spelling",English,noble,ADILENE,Adeline,female,French
form,Anglicized,slender,ADINA,"unisex Adiyna",female,Hebrew
spelling,Variant,"son of Adam",ADISON,"unisex Addison",female,English
spelling,Variant,"son of Adam",ADISSON,"unisex Addison",female,English
form,Elaborated,"worthy of admiration",ADMIRANDA,Miranda,female,English
form,Feminine,"noble wolf",ADOLPHA,Adolphus,female,Latin
spelling,Variant,"from Hadria",ADREA,Adria,female,English
spelling,Variant,"from Hadria",ADREANA,Adriana,female,Latin
spelling,Variant,"from Hadria",ADREEA,Adria,female,English
form,Feminine,"from Hadria",ADRIA,Adrian,female,English
form,Feminine,"from Hadria",ADRIANA,"Adrianus, Spanish Adriï��n, and Italian Adriano, all",female,Latin
"variant spelling",English,"from Hadria",ADRIANAH,Adriana,female,Latin
form,Feminine,"from Hadria",ADRIANE,Adrian,female,English
"feminine form",Polish,"from Hadria",ADRIANNA,Adrianus,female,Latin
form,Feminine,"from Hadria",ADRIANNAH,Adrian,female,English
form,Feminine,"from Hadria",ADRIANNE,Adrian,female,English
form,Pet,"from Hadria",ADRIE,Adriane,female,English
form,Anglicized,Ireland,AERYN,"Gaelic ï��irinn",female,Irish
spelling,Variant,Ireland,AERYNN,Aeryn,female,English
spelling,Variant,"land of the Afri",AFFRICA,Africa,female,English
spelling,Variant,"land of the Afri",AFFRICAH,Africa,female,English
spelling,Variant,"land of the Afri",AFFRIKA,Africa,female,English
spelling,Variant,"land of the Afri",AFFRIKAH,Africa,female,English
spelling,Variant,"land of the Afri",AFRICAH,Africa,female,English
spelling,Variant,"land of the Afri",AFRIKA,Africa,female,English
spelling,Variant,"land of the Afri",AFRIKAH,Africa,female,English
form,"Medieval English",good,AGAS,Agatha,female,Latin
form,Latin,good,AGATHA,Agathe,female,Greek
spelling,Variant,chaste,AGGI,Aggie,female,English
spelling,Variant,chaste,AGGY,Aggie,female,English
spelling,Variant,chaste,AGGYE,Aggie,female,English
form,English,"chaste; holy",AGNES,Agnï��s,female,French
spelling,Variant,"chaste; holy",AGNUS,Agnes,female,English
form,Anglicized,falcon,AIAH,"unisex Ayah",female,Hebrew
form,Anglicized,face,AIDEEN,"Gaelic ï��taï��n",female,Irish
form,Pet,"little Eve",AILA,Aileen,female,English
form,Short,"little Eve",AILEE,Aileen,female,English
form,"Scottish Anglicized","little Eve",AILEEN,Aibhilï��n,female,Gaelic
spelling,Variant,"little Eve",AILENE,Aileen,female,English
form,Pet,"little Eve",AILEY,Aileen,female,English
form,Pet,"little Eve",AILIE,Aileen,female,English
form,Anglicized,"God is my oath",AILSA,"Gaelic Ealasaid",female,Scottish
spelling,Variant,"elf victory",AILSE,Ailsa,female,English
spelling,Variant,"elf victory",AILSIE,Ailsa,female,English
spelling,Variant,"much loved",AIMEY,Amy,female,English
spelling,Variant,"much loved",AIMIE,Amy,female,English
spelling,Variant,"hermitage meadow",AINSLIE,"unisex Ainsley",female,Scottish
form,Elaborated,ethereal,AIRLEA,Airla,female,English
form,Elaborated,ethereal,AIRLIA,Airla,female,English
spelling,Variant,"dream; vision",AISLIN,"Gaelic Aisling",female,Irish
spelling,Variant,"dream; vision",AISLINN,"Gaelic Aisling",female,Irish
"feminine form",English,"little rock",ALANA,Alan,female,Celtic
"feminine form",English,"little rock",ALANIS,Alan,female,Celtic
spelling,Variant,"little rock",ALANNA,Alana,female,English
spelling,Variant,"little rock",ALANNAH,Alanna,female,English
spelling,Variant,"little rock",ALANNIS,Alanis,female,English
form,Feminine,"bright nobility",ALBERTA,Albert,female,English
form,Feminine,"bright nobility",ALBERTINE,Albert,female,French
form,Feminine,"like Albus",ALBINA,Albin,female,English
"variant spelling",English,"the high, exalted one",ALEA,Aliya,female,Arabic
spelling,Variant,"little Eve",ALEEN,Aileen,female,English
"variant spelling",English,"noble sort",ALEESHA,Alicia,female,Spanish
spelling,Variant,"little Eve",ALENE,Aileen,female,English
"variant spelling",English,"noble sort",ALESHA,Alicia,female,Spanish
spelling,Variant,truth,ALETHA,Alethea,female,English
"short form","English and Latin","defender of mankind",ALEXA,Alexandra,female,of
form,Feminine,"defender of mankind",ALEXANDRA,Alexander,female,English
spelling,Variant,"defender of mankind",ALEXANDREA,Alexandria,female,Latin
form,Feminine,defender,ALEXIA,Alexius,female,Latin
form,Pet,defender,ALEXINA,Alexia,female,Latin
"contracted form",Unisex,defender,ALEXIS,Alexius,female,Latin
"contracted form",Unisex,defender,ALEXUS,Alexius,female,Latin
form,Feminine,"elf counsel",ALFREDA,Alfred,female,English
spelling,Variant,"to ascend, to go up",ALIA,Aliah,female,English
form,Anglicized,"to ascend, to go up",ALIAH,Aliya,female,Hebrew
form,Slovak,"noble sort",ALICA,Alice,female,English
form,Modern,"noble sort",ALICE,Adelaide,female,English
equivalent,Spanish,"noble sort",ALICIA,Alice,female,English
spelling,Variant,"little Eve",ALINE,Aileen,female,English
form,Short,"noble sort",ALIS,Alisa,female,English
form,Variant,"noble sort",ALISA,Alice,female,English
equivalent,Latvian,"noble sort",ALISE,Alice,female,English
"variant spelling",English,"noble sort",ALISHA,Alicia,female,Spanish
"variant spelling",English,"noble sort",ALISHIA,Alicia,female,Spanish
"variant spelling",English,"noble sort",ALISIA,Alicia,female,Spanish
"variant spelling",English,"noble sort",ALISSA,Alicia,female,Spanish
"variant spelling",English,"noble sort",ALISYA,Alicia,female,Spanish
spelling,Variant,"elf army",ALIVIA,"Olivia, probably",female,English
spelling,Variant,"defender of mankind",ALIX,"unisex Alex",female,English
spelling,Variant,"little rock",ALLANA,Alana,female,English
spelling,Variant,"little rock",ALLANNAH,Alannah,female,English
spelling,Variant,"little Eve",ALLEEN,Aline,female,English
spelling,Variant,"little Eve",ALLENE,Aline,female,English
