"id","name","derivation","form","kind","meaning","original","sex","source"
"1","Aaran","Variant spelling of English Aaron: light-bringer","spelling","Variant","light-bringer","Aaron","male","English"
"2","Aaren","Variant spelling of English Aeryn: Ireland","spelling","Variant","Ireland","Aeryn","female","English"
"3","Aaren","Variant spelling of English Aaron: light-bringer","spelling","Variant","light-bringer","Aaron","male","English"
"4","Aarron","Variant spelling of English Aaron: light-bringer","spelling","Variant","light-bringer","Aaron","male","English"
"5","Ab","Short form of English Abner: father of light","form","Short","father of light","Abner","male","English"
"6","Abaegayle","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"7","Abagael","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"8","Abagail","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"9","Abagale","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"10","Abaigael","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"11","Abaigeal","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"12","Abbey","Pet form of English Abigail: father rejoices","form","Pet","father rejoices","Abigail","female","English"
"13","Abbi","Pet form of English Abigail: father rejoices","form","Pet","father rejoices","Abigail","female","English"
"14","Abbie","Pet form of English Abigail: father rejoices","form","Pet","father rejoices","Abigail","female","English"
"15","Abbigael","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"16","Abbigail","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"17","Abbigale","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"18","Abbigayle","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"19","Abbot","Variant spelling of English Abbott: abbot, father, priest","spelling","Variant","abbot, father, priest","Abbott","male","English"
"20","Abby","Pet form of English Abigail: father rejoices","form","Pet","father rejoices","Abigail","female","English"
"21","Abbye","Pet form of English Abigail: father rejoices","form","Pet","father rejoices","Abigail","female","English"
"22","Abbygael","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"23","Abbygail","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"24","Abbygale","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
"25","Abdon","Anglicized form of Hebrew Abdown: servant, worshiper","form","Anglicized","servant, worshiper","Abdown","male","Hebrew"
"26","Abe","Short form of Hebrew Abraham: father of a multitude","form","Short","father of a multitude","Abraham","male","Hebrew"
"27","Abegail","Variant spelling of English Abigail: father rejoices","spelling","Variant","father rejoices","Abigail","female","English"
