1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: 19th-century English elaborated form of Latin cara, meaning "beloved."From the constellation Carina, from Latin carina, which originally meant "shell of a nut," later "keel of a ship." | female. CARINA
1: 19th century English name derived from Latin rex, meaning "king." | male. REX
1: 19th century pet name derived from Old English blōstm, meaning "flowers on a fruit-tree (or ornamental tree)." | female. BLOSSOM
1: Abbreviated form of English Thomasina, meaning "twin." | female. THOMASIN
1: According to Ayn Rand, this name is an adaptation of the Finnish name Aino, meaning "the only one." | female. AYN
1: A Christian virtue name, derived from the English vocabulary word, patience, from Latin pati, meaning "to suffer." The Puritans considered it virtuous "to suffer" misfortune and persecution without complaint or loss of faith. | female. PATIENCE
1: A derivative of Hebrew Ba'al ("to marry; to be lord, master, possessor"), meaning "she who is married." In the bible, this is an allegorical name for the land of Israel. | female. BEULAH (בְּעוּלָה)
1: A dialectal variant spelling of English Dean, meaning "dean; ecclesiastical supervisor." | male. DANE
1: African American name, of uncertain origin, possibly a variant form of the masculine Comanche name Quanah, meaning "fragrant." | female. QUANNA
1: Altered form of English Kayley, meaning "slender." Compare with another form of Kaila. | female. KAILA
1: Altered form of Irish Prunty, a form of Gaelic Ó Proinntigh, meaning "descendant of Proinnteach," a personal name that was originally a byname meaning "banquet hall (denoting a "generous person")." In Prunty's altered form (Bronte), the name is identical to the Sicilian place name and the name of a mythological horse of the Sun, meaning "thunder." But Prunty was probably purposely altered to Bronte by bearers of the name who admired Lord Nelson who was awarded the title of Duke of Bronte in 1799 by Ferdinand, King of the Two Sicilies. | female. BRONTE
1: Altered form of medieval English Fulke, meaning "tribe." | male. FAWKE
1: Alternate form of English Molly, "obstinacy, rebelliousness" or "their rebellion." The reason for the change from "M" to "P" is not known. | female. POLLY
1: Alternate spelling of the English surname Deeming, meaning "act of judging." Compare with another form of Deming. | male. DEMING
1: American English byname for someone "from Texas." | male. TEX
1: American English name bestowed in honor of the folk hero Casey Jones who got this byname from his place of birth, Cayce, Kentucky, which came from the Irish surname Cayce, an Anglicized form of Gaelic Ó Cathasaigh "descendant of Cathasach," hence "vigilant, wakeful." Compare with feminine Casey. | male. CASEY
1: American English name, probably derived from the name of the famous Caffé Lavena in Venus, Italy, established by Carlos Lavena in 1750, from Latin Lavinia, possibly meaning "purity." | female. LAVENA
1: American flower name popular in the 19th century, but rarely used today. | female. BLUEBELL
1: Americanized form of the French surname De Chiel used as a personal name, composed of the French elements de "of" and chiel "heaven," hence "from heaven." | male. DASHIELL (pron. daSHEEL)
1: American name of uncertain origin, probably intended to be a feminine form of English Samuel, meaning "heard of God," "his name is El," or "name of God." | female. SAMANTHA
1: An English pronunciation of the ineffable name of the Hebrew god YHWH, meaning "existing one." | male. YAHWEH
1: An English pronunciation of the ineffable name of the Hebrew god YHWH, meaning "existing one." | male. YEHOWAH
1: Anglicized form of Arabic Azra'il, the name of the "Angel of Death" who separates the soul from the body upon death.Anglicized form of Hebrew Azriy'el, meaning "help of God." In the bible, this is the name of several minor characters. | male. AZRAEL
1: Anglicized form of Arabic Azra'il, the name of the "Angel of Death" who separates the soul from the body upon death.Anglicized form of Hebrew Azriy'el, meaning "help of God." In the bible, this is the name of several minor characters. | male. AZRIEL
1: Anglicized form of Chinese Kong Fu Zi. Kong is the surname, meaning "hole" or "opening." Fu is the generation name, meaning "husband, master, man," and Zi is the given name, meaning "son." | male. CONFUCIUS
1: Anglicized form of Danish/Norwegian Håvard, meaning "high guard." This is an older form of modern English Howard. | male. HAWARD
1: Anglicized form of Finnish Väinämöinen, meaning "wide and slow-flowing river." | male. WAINAMOINEN
1: Anglicized form of Gaelic Áedán, meaning "fire." Variant spelling of English Adin, meaning "dainty, delicate." | male. ADEN
1: Anglicized form of Gaelic Áedán, meaning "little fire." | male. AIDAN
1: Anglicized form of Gaelic Caolán, meaning "little slender one." | male. KAOLIN
1: Anglicized form of Gaelic Ó Muircheartaigh "descendant of Muircheartach," hence "skilled seaman." Compare with another form of Murtagh. | male. MURTAGH
1: Anglicized form of Greek Abaddōn, meaning "destruction, ruination." In the New Testament bible, this is the name of the place of destruction. And it is a name given to the angel of the bottomless pit, the Destroyer Apollyon. | male. ABADDON
1: Anglicized form of Greek Amōs, meaning "strong." In the New Testament bible, this is the name of an ancestor of Christ. | male. AMOS
1: Anglicized form of Greek Apollyōn, meaning "destroyer." In the New Testament bible, this is the name of the angel-prince of the infernal regions, the minister of death and author of havoc on earth. He is also known by the name Abaddon. | male. APOLLYON
1: Anglicized form of Greek Beniamín from Hebrew Binyamin, meaning "son of the right hand." In the bible, this is the name of one of the founders of the twelve tribes of Israel, the youngest of Jacob's twelve sons. His birth name was Benoni, given to him by his mother who died giving birth to him. Not wanting his son to bear such an ill-omened name, Jacob changed his name to Binyamin/Benjamin, because he was the only son born in southern Canaan instead of northern Mesopotamia. Compare with another form of Benjamin. | male. BENJAMIN
1: Anglicized form of Greek Eirênê, meaning "peace." | female. EIRENE
1: Anglicized form of Greek Hōsanna, meaning "deliver us." In the bible, this was the cry of the people who recognized Jesus as the Messiah when he entered Jerusalem. | female. HOSANNA
1: Anglicized form of Greek Iaïros, meaning "whom God enlightens." In the bible, this is the name of several characters, including a descendant of Manasseh. | male. JAIRUS
1: Anglicized form of Greek Ieremias ("Jehovah casts forth" or "Jehovah hurls") and Hebrew Yirmeyah ("whom God has appointed"). In the bible, this is the name of many characters, including one of the six major prophets. | male. JEREMIAH
1: Anglicized form of Greek Pharao ("his nakedness") and Hebrew Paroh ("great house"). In the bible, this is a title for the king of Egypt. | male. PHARAOH
1: Anglicized form of Greek Salōmē, meaning "peaceful." In the New Testament bible, this is the name of a woman who witnessed Christ's crucifixion. It is also said (by the historian Josephus) to have been the name of the daughter of Herodias (consort of Herod Antipas), who demanded the head of John the Baptist after dancing for Herod. | female. SALOME
1: Anglicized form of Greek Solomōn, meaning "peaceable." In the bible, this is the name of the tenth son of David who became the third king of Israel. | male. SOLOMON
1: Anglicized form of Hebrew Elqanah, meaning either "God has created" or "God has possessed." In the bible, this is the name of many characters, including one of the sons of Korah. | male. ELKANAH
1: Anglicized form of Hebrew Iyzebel ("Ba'al exalts," "unchaste," or "without cohabitation") and Greek Iezabel ("chaste, intact"). In the bible, this is the name of the evil wife of King Ahab. She was eaten by dogs as prophesied by Elijah. | female. JEZEBEL
1: Anglicized form of Hebrew Qayin ("acquired, possessed") and Greek Kaïn ("maker; fabricator" i.e. "smith"). In the bible, this is the name of Adam and Eve's first son who killed his brother Abel. | male. CAIN
1: Anglicized form of Hebrew Ruwth ("appearance" or "friendship") and Greek Rhouth ("a female friend"). In the bible, this is the name of a Moabite who marries Naomi's son, an ancestor of David and of Christ. | female. RUTH
1: Anglicized form of Hebrew Yitzchak (Greek Isaák), meaning "he will laugh." In the bible, this is the name of the son of Abraham and father of Esau and Jacob. | male. ISAAC
1: Anglicized form of Hebrew Yowkebed In the bible, this is the name of the mother of Miriam, Aaron and Moses. | female. JOCHEBED
